date,layer,QFLAG2_min,QFLAG2_max,QFLAG2_mean,QFLAG2_median,QFLAG2_count,QFLAG2_std,QFLAG2_majority,LAI_min,LAI_max,LAI_mean,LAI_median,LAI_count,LAI_std,LAI_majority,PPI_min,PPI_max,PPI_mean,PPI_median,PPI_count,PPI_std,PPI_majority,FAPAR_min,FAPAR_max,FAPAR_mean,FAPAR_count,FAPAR_std,FAPAR_median,FAPAR_majority,NDVI_min,NDVI_max,NDVI_mean,NDVI_median,NDVI_count,NDVI_std,NDVI_majority
2017-06-25 10:50:31,LAM,1.0,4097.0,3875.649479424888,4097.0,2017,818.8423528379359,4097.0,0.438400000333786,3.8511998653411865,1.382712035588126,1.159999966621399,2017,0.6680056596260845,0.8208000063896179,0.1111999973654747,2.1164000034332275,0.8376982901199181,0.8009999990463257,2017,0.3447671619558149,0.6384999752044678,0.2599999904632568,0.8276000022888184,0.4659570288291708,2017,0.1310364482823783,0.4314999878406524,0.3330999910831451,0.2727999985218048,0.7773999571800232,0.5540555425368741,0.5454999804496765,2017,0.1089267286000484,0.4696999788284302
2017-06-28 10:56:51,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-06-30 10:50:29,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-07-02 10:40:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-07-03 10:56:49,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-07-05 10:50:31,LAM,1.0,1.0,1.0,1.0,2413,0.0,1.0,0.4943999946117401,4.727200031280518,3.411871001476378,3.5999999046325684,2413,0.8160496543522104,3.5807998180389404,0.3471999764442444,3.0,1.552758354000466,1.605199933052063,2413,0.3739106612631118,1.1931999921798706,0.3028999865055084,0.8948999643325806,0.7964085224402974,2413,0.0886713605178243,0.8271999955177307,0.8571999669075012,0.3946999907493591,0.9110999703407288,0.8219137306387277,0.8420000076293945,2413,0.067569053083837,0.8652999997138977
2017-07-07 10:40:19,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-07-10 10:50:29,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-07-12 10:40:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-07-13 10:56:49,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
